dialogue_id,turn_id,turn,speaker,text
DEMO01,DEMO01-T01,1,甲方,我认为大学课程应该保留线下课堂，因为面对面的讨论能让教师及时发现误解。
DEMO01,DEMO01-T02,2,乙方,线上课程也能即时提问，而且录播让学生按自己的节奏复习难点。
DEMO01,DEMO01-T03,3,甲方,录播解决了重复学习，却不能完全替代同伴之间临场追问形成的思路碰撞。
DEMO01,DEMO01-T04,4,乙方,如果采用小组视频讨论并让学生轮流主持，线上环境也可以产生临场互动。
DEMO01,DEMO01-T05,5,甲方,关键也许不是线上或线下的二选一，而是把知识讲解放在线上，把争论和实验留给教室。
DEMO01,DEMO01-T06,6,乙方,这种混合方案更合理，但还需要为网络条件较差的学生提供校内学习空间。
DEMO02,DEMO02-T01,1,甲方,城市中心应该限制私家车，因为道路空间有限，公共交通能服务更多人。
DEMO02,DEMO02-T02,2,乙方,全面限制会增加夜班人员和行动不便者的出行成本。
DEMO02,DEMO02-T03,3,甲方,可以按时段和区域收费，同时把收入用于夜间公交与无障碍接驳。
DEMO02,DEMO02-T04,4,乙方,收费可能让道路变成富人的特权，政策需要设置居民与照护者的豁免。
DEMO02,DEMO02-T05,5,甲方,还可以把拥堵费与家庭收入挂钩，让价格信号存在但负担更公平。
DEMO02,DEMO02-T06,6,乙方,如果公开评估空气质量和通勤时间，再根据结果调整费率，我会支持试点。
DEMO03,DEMO03-T01,1,甲方,生成式人工智能可以帮助学生快速获得解释，但不应直接替学生完成作业。
DEMO03,DEMO03-T02,2,乙方,禁止代写很必要，不过教师也要设计能展示思考过程的任务。
DEMO03,DEMO03-T03,3,甲方,例如要求学生提交提问记录和修改理由，就能把工具使用转化为可观察的学习过程。
DEMO03,DEMO03-T04,4,乙方,但记录越多不等于思考越深，学生可能为了合规制造冗长的过程材料。
DEMO03,DEMO03-T05,5,甲方,所以评价重点应放在关键决策及其证据，而不是对每一次点击进行计数。
DEMO03,DEMO03-T06,6,乙方,这也意味着课程要先说明哪些判断必须由学生负责，再讨论人工智能可以承担什么。
